Bin,Chromosome,Position,FC_Sbe_vs_Wte,FC_sbg_vs_wtg
LinJ26-625000-630000,26,627500,0.506585627,0.676108318
LinJ27-1170000-1175000,27,1172500,-0.021446664,0.676066656
LinJ26-710000-715000,26,712500,0.549567794,0.67588261
LinJ26-110000-115000,26,112500,0.431731915,0.675750525
LinJ26-465000-470000,26,467500,0.501820169,0.675687815
LinJ18-85000-90000,18,87500,0.454347004,0.67555513
LinJ33-1350000-1355000,33,1352500,0.513244221,0.673619734
LinJ26-315000-320000,26,317500,0.436418991,0.671667844
LinJ33-1485000-1490000,33,1487500,0.525608168,0.671045316
LinJ26-100000-105000,26,102500,0.484794853,0.670078917
LinJ26-1020000-1025000,26,1022500,0.512943746,0.669488035
LinJ26-470000-475000,26,472500,0.525070951,0.668992044
LinJ26-850000-855000,26,852500,0.548096635,0.668902964
LinJ26-425000-430000,26,427500,0.521537076,0.668456576
LinJ26-645000-650000,26,647500,0.502756575,0.668169945
LinJ33-770000-775000,33,772500,0.521878562,0.667757941
LinJ33-775000-780000,33,777500,0.637905329,0.666772911
LinJ26-725000-730000,26,727500,0.497394203,0.665863337
LinJ26-405000-410000,26,407500,0.514527667,0.66290378
LinJ21-720000-725000,21,722500,0,0.662729696
LinJ26-760000-765000,26,762500,0.533334259,0.662566361
LinJ26-440000-445000,26,442500,0.577010064,0.66243518
LinJ26-480000-485000,26,482500,0.367292208,0.657925403
LinJ26-420000-425000,26,422500,0.437572207,0.657831209
LinJ26-695000-700000,26,697500,0.37992458,0.657698602
LinJ26-590000-595000,26,592500,0.509184991,0.657291737
LinJ26-475000-480000,26,477500,0.503075112,0.654757347
LinJ33-1320000-1325000,33,1322500,0.634960902,0.654430386
LinJ26-675000-680000,26,677500,0.544270281,0.652688975
LinJ26-360000-365000,26,362500,0.415405279,0.650501647
LinJ29-1095000-1100000,29,1097500,0,0.650499187
LinJ18-80000-85000,18,82500,0.482290878,0.650080205
LinJ26-150000-155000,26,152500,0.634132223,0.649615142
LinJ33-1155000-1160000,33,1157500,0.819539079,0.648990817
LinJ26-350000-355000,26,352500,0.458922934,0.648829482
LinJ26-770000-775000,26,772500,0.564881938,0.64862653
LinJ26-905000-910000,26,907500,0.40480753,0.64851344
LinJ33-1470000-1475000,33,1472500,0.554843066,0.646801391
LinJ26-460000-465000,26,462500,0.591465647,0.646600208
LinJ26-990000-995000,26,992500,0.544922849,0.645993515
LinJ26-335000-340000,26,337500,0.447253121,0.643977779
LinJ26-775000-780000,26,777500,0.586239869,0.643084762
LinJ18-545000-550000,18,547500,0.509524268,0.64096374
LinJ33-935000-940000,33,937500,0.748707871,0.64069587
LinJ26-910000-915000,26,912500,0.544077571,0.640210313
LinJ26-935000-940000,26,937500,0.4576619,0.63939644
LinJ26-135000-140000,26,137500,0.556637555,0.639320311
LinJ26-870000-875000,26,872500,0.508470681,0.636652755
LinJ18-55000-60000,18,57500,0.350299269,0.636249728
LinJ26-680000-685000,26,682500,0.435542543,0.635851704
LinJ33-1415000-1420000,33,1417500,0.623127959,0.635612771
LinJ18-555000-560000,18,557500,0.464423667,0.6323623
LinJ26-940000-945000,26,942500,0.542292948,0.632177312
LinJ26-445000-450000,26,447500,0.576630554,0.631171752
LinJ26-330000-335000,26,332500,0.449319167,0.629892015
LinJ26-380000-385000,26,382500,0.393192862,0.629865434
LinJ26-825000-830000,26,827500,0.528510073,0.629615443
LinJ26-700000-705000,26,702500,0.526435346,0.629421205
LinJ26-670000-675000,26,672500,0.463360855,0.628643701
LinJ26-715000-720000,26,717500,0.576178184,0.627622572
LinJ26-520000-525000,26,522500,0.489196872,0.626022542
LinJ33-755000-760000,33,757500,0.583613526,0.625684748
LinJ26-895000-900000,26,897500,0.474473263,0.625052313
LinJ33-1220000-1225000,33,1222500,0.59134493,0.62495893
LinJ26-975000-980000,26,977500,0.506655316,0.624009791
LinJ26-455000-460000,26,457500,0.538698762,0.623276705
LinJ33-1360000-1365000,33,1362500,0.598818246,0.621060063
LinJ33-1230000-1235000,33,1232500,0.646590535,0.620364629
LinJ33-1085000-1090000,33,1087500,0.632353019,0.619150077
LinJ26-780000-785000,26,782500,0.491585043,0.618325027
LinJ26-820000-825000,26,822500,0.48942468,0.618150051
LinJ26-535000-540000,26,537500,0.476357249,0.617635103
LinJ33-1240000-1245000,33,1242500,0.507066486,0.614375037
LinJ26-830000-835000,26,832500,0.495077074,0.613813291
LinJ26-390000-395000,26,392500,0.584053027,0.611283929
LinJ33-1410000-1415000,33,1412500,0.604118448,0.610077355
LinJ26-385000-390000,26,387500,0.441529194,0.606958019
LinJ26-660000-665000,26,662500,0.494350511,0.604513114
LinJ27-75000-80000,27,77500,0,0.604180324
LinJ26-920000-925000,26,922500,0.529025948,0.602838626
LinJ11-45000-50000,11,47500,0.490629364,0.600168966
LinJ33-1490000-1495000,33,1492500,0.484208663,0.599612013
LinJ26-790000-795000,26,792500,0.554696765,0.599519605
LinJ26-555000-560000,26,557500,0.5477321,0.595671747
LinJ26-655000-660000,26,657500,0.440466811,0.595193832
LinJ26-345000-350000,26,347500,0.475054746,0.595024105
LinJ33-1390000-1395000,33,1392500,0.521343365,0.593435827
LinJ33-1215000-1220000,33,1217500,0.519876445,0.593031093
LinJ33-1235000-1240000,33,1237500,0.627640564,0.588135633
LinJ33-805000-810000,33,807500,0.638389718,0.585153686
LinJ33-790000-795000,33,792500,0.602643198,0.584670373
LinJ26-665000-670000,26,667500,0.540933099,0.581272158
LinJ26-200000-205000,26,202500,0.423459388,0.580584277
LinJ36-1655000-1660000,36,1657500,0.114422814,0.580551781
LinJ26-720000-725000,26,722500,0.413212722,0.580015862
LinJ33-1210000-1215000,33,1212500,0.498832658,0.577688848
LinJ33-1050000-1055000,33,1052500,0.518249481,0.576756692
LinJ26-650000-655000,26,652500,0.441754787,0.576138385
LinJ18-50000-55000,18,52500,0.520831908,0.574728907
LinJ33-1510000-1515000,33,1512500,0.482559804,0.574596236
LinJ18-570000-575000,18,572500,0.429263048,0.574081543
LinJ26-955000-960000,26,957500,0.396615441,0.572590251
LinJ33-1520000-1525000,33,1522500,0.55318793,0.571290908
LinJ36-780000-785000,36,782500,0,0.570348031
LinJ26-595000-600000,26,597500,0.092326451,0.568452044
LinJ33-785000-790000,33,787500,0.543854274,0.566999966
LinJ26-835000-840000,26,837500,0.533533282,0.562889198
LinJ33-1395000-1400000,33,1397500,0.727635847,0.561471215
LinJ33-1505000-1510000,33,1507500,0.57160523,0.561284987
LinJ33-1200000-1205000,33,1202500,0.448002199,0.560085678
LinJ33-1345000-1350000,33,1347500,0.486822748,0.559624828
LinJ33-970000-975000,33,972500,0.558422334,0.558733628
LinJ33-835000-840000,33,837500,0.489345807,0.55797247
LinJ23-335000-340000,23,337500,0.161123898,0.556368849
LinJ11-140000-145000,11,142500,0.42515228,0.553142335
LinJ26-860000-865000,26,862500,0.507228312,0.550270857
LinJ33-1190000-1195000,33,1192500,0.645046154,0.54968188
LinJ34-1105000-1110000,34,1107500,0,0.549287645
LinJ33-1310000-1315000,33,1312500,0.49489419,0.5488441
LinJ33-825000-830000,33,827500,0.583596545,0.548816902
LinJ33-980000-985000,33,982500,0.517218373,0.548615131
LinJ33-1480000-1485000,33,1482500,0.50177852,0.546091021
LinJ33-975000-980000,33,977500,0.580399894,0.545333044
LinJ33-1040000-1045000,33,1042500,0.604503347,0.542812169
LinJ33-1140000-1145000,33,1142500,0.609931855,0.542271731
LinJ26-430000-435000,26,432500,0.56691778,0.541864323
LinJ33-1125000-1130000,33,1127500,0.621235075,0.541187013
LinJ11-30000-35000,11,32500,0.550155356,0.540711936
LinJ18-35000-40000,18,37500,0.423515343,0.539669682
LinJ33-870000-875000,33,872500,0.631874857,0.539050904
LinJ18-165000-170000,18,167500,0.463520165,0.538102583
LinJ26-925000-930000,26,927500,0.471108047,0.536307848
LinJ33-1025000-1030000,33,1027500,0.506948289,0.535784291
LinJ26-545000-550000,26,547500,0.581751135,0.535507951
LinJ11-20000-25000,11,22500,0.471597775,0.533835704
LinJ33-910000-915000,33,912500,0.552267334,0.531934411
LinJ33-955000-960000,33,957500,0.544838744,0.531566157
LinJ18-445000-450000,18,447500,0.319933214,0.524967739
LinJ26-635000-640000,26,637500,0,0.524767031
LinJ33-1060000-1065000,33,1062500,0.437575666,0.524736431
LinJ33-1105000-1110000,33,1107500,0.52279461,0.524723495
LinJ26-20000-25000,26,22500,0,0.523966325
LinJ33-1525000-1530000,33,1527500,0.538131655,0.523725957
LinJ11-10000-15000,11,12500,0.585955962,0.522204082
LinJ18-160000-165000,18,162500,0.382716795,0.521771679
LinJ18-210000-215000,18,212500,0.331126712,0.519956868
LinJ26-560000-565000,26,562500,0.481929808,0.519198643
LinJ30-1035000-1040000,30,1037500,0.138964431,0.519026353
LinJ33-1225000-1230000,33,1227500,0.657266599,0.517588369
LinJ11-40000-45000,11,42500,0.473090904,0.5167601
LinJ33-905000-910000,33,907500,0.614066184,0.515902412
LinJ33-845000-850000,33,847500,0.537298716,0.515546905
LinJ23-345000-350000,23,347500,0.121880076,0.515450933
LinJ35-930000-935000,35,932500,0.185569994,0.514318791
LinJ18-125000-130000,18,127500,0.277732862,0.512729123
LinJ29-645000-650000,29,647500,0.161024123,0.511541462
LinJ33-1000000-1005000,33,1002500,0.550694703,0.511071169
LinJ33-795000-800000,33,797500,0.539382964,0.508765451
LinJ18-575000-580000,18,577500,0.462079859,0.504353645
LinJ33-915000-920000,33,917500,0.662365737,0.504032384
LinJ33-1500000-1505000,33,1502500,0.511411897,0.503059851
LinJ33-1035000-1040000,33,1037500,0.558064141,0.502785926
LinJ35-395000-400000,35,397500,0.077606659,0.502504181
LinJ11-125000-130000,11,127500,0.494871109,0.502373125
LinJ11-50000-55000,11,52500,0.552189019,0.502216136
LinJ18-245000-250000,18,247500,0.301361219,0.500987042
LinJ36-260000-265000,36,262500,0.09162639,0.500586311
LinJ18-45000-50000,18,47500,0.371643608,0.500340791
LinJ18-605000-610000,18,607500,0.379050454,0.499380502
LinJ33-1055000-1060000,33,1057500,0.635633136,0.499214682
LinJ11-55000-60000,11,57500,0.436304448,0.498926805
LinJ18-705000-710000,18,707500,0.43220244,0.497074729
LinJ33-1080000-1085000,33,1082500,0.548169201,0.496672312
LinJ34-1070000-1075000,34,1072500,0.077163732,0.496123997
LinJ30-1175000-1180000,30,1177500,0,0.495334239
LinJ04-0-5000,4,2500,-0.101404326,0.495221748
LinJ33-1045000-1050000,33,1047500,0.495188766,0.493926536
LinJ18-30000-35000,18,32500,0.290890913,0.493514824
LinJ18-10000-15000,18,12500,0.403708857,0.492815688
LinJ33-855000-860000,33,857500,0.510606442,0.492669239
LinJ33-1180000-1185000,33,1182500,0.575920341,0.492597737
LinJ18-205000-210000,18,207500,0.262879381,0.492458944
LinJ33-1290000-1295000,33,1292500,0.408583009,0.49201453
LinJ33-1120000-1125000,33,1122500,0.527456735,0.491695943
LinJ33-1015000-1020000,33,1017500,0.58381249,0.491517873
LinJ18-130000-135000,18,132500,0.393191787,0.491250959
LinJ33-1030000-1035000,33,1032500,0.417837187,0.491200332
LinJ33-1430000-1435000,33,1432500,0.559105099,0.49001759
LinJ11-190000-195000,11,192500,0.415981389,0.489802552
LinJ11-25000-30000,11,27500,0.588566848,0.489731239
LinJ19-65000-70000,19,67500,-0.151381376,0.489022653
LinJ33-990000-995000,33,992500,0.594916647,0.488603092
LinJ11-70000-75000,11,72500,0.486466841,0.487953721
LinJ05-445000-450000,5,447500,-0.167667427,0.487433515
LinJ33-1090000-1095000,33,1092500,0.545862273,0.487010188
LinJ33-1435000-1440000,33,1437500,0.598797218,0.485755366
LinJ36-255000-260000,36,257500,0.109846461,0.485750075
LinJ33-1145000-1150000,33,1147500,0.53901905,0.485284368
LinJ36-1670000-1675000,36,1672500,0.150696719,0.48513437
LinJ11-155000-160000,11,157500,-0.088960204,0.484966116
LinJ33-1070000-1075000,33,1072500,0.54572281,0.484951739
LinJ18-620000-625000,18,622500,0.484012245,0.484441046
LinJ33-1020000-1025000,33,1022500,0.640548071,0.483846221
LinJ11-185000-190000,11,187500,0.502067728,0.48245968
LinJ11-180000-185000,11,182500,0.53064329,0.481216505
LinJ33-1375000-1380000,33,1377500,0.459986432,0.479353675
LinJ33-925000-930000,33,927500,0.623310995,0.47908818
LinJ33-1305000-1310000,33,1307500,0.408579498,0.478555319
LinJ18-40000-45000,18,42500,0.386908358,0.478208368
LinJ33-1185000-1190000,33,1187500,0.563095692,0.477859043
LinJ23-570000-575000,23,572500,-0.606721861,0.474566123
LinJ11-160000-165000,11,162500,-1.310287267,0.474194168
LinJ11-85000-90000,11,87500,0.400203081,0.473470192
LinJ33-800000-805000,33,802500,0.572600266,0.472532208
LinJ33-815000-820000,33,817500,0.462619542,0.471775286
LinJ18-475000-480000,18,477500,0.351529765,0.471390554
LinJ18-70000-75000,18,72500,0.499492161,0.471245107
LinJ33-860000-865000,33,862500,0.463256748,0.466819189
LinJ14-445000-450000,14,447500,0,0.466743773
LinJ11-115000-120000,11,117500,0.477204025,0.465075522
LinJ11-105000-110000,11,107500,0.485534981,0.464318466
LinJ33-1110000-1115000,33,1112500,0.494405744,0.463893935
LinJ33-1075000-1080000,33,1077500,0.549185823,0.463734556
LinJ27-590000-595000,27,592500,-0.089163223,0.463245503
LinJ13-645000-650000,13,647500,-0.118475534,0.462999514
LinJ18-560000-565000,18,562500,0.410590059,0.461929223
LinJ33-890000-895000,33,892500,0.585688692,0.461920994
LinJ33-630000-635000,33,632500,0.142291547,0.461371897
LinJ18-525000-530000,18,527500,0.438139665,0.460884303
LinJ11-60000-65000,11,62500,0.405603965,0.45841113
LinJ27-585000-590000,27,587500,-0.175450969,0.457871552
LinJ18-175000-180000,18,177500,0.435364188,0.457852465
LinJ33-1325000-1330000,33,1327500,0.432220136,0.456043192
LinJ18-75000-80000,18,77500,0.474008715,0.455565631
LinJ13-650000-655000,13,652500,-0.00437584,0.454835909
LinJ11-65000-70000,11,67500,0.43807538,0.454719389
LinJ33-865000-870000,33,867500,0.616096962,0.454681031
LinJ29-610000-615000,29,612500,0.165322393,0.454542257
LinJ33-1425000-1430000,33,1427500,0.468307271,0.454449829
LinJ33-920000-925000,33,922500,0.52167242,0.454320292
LinJ11-145000-150000,11,147500,0.372276391,0.45377232
LinJ36-235000-240000,36,237500,0.152180609,0.453071599
LinJ33-880000-885000,33,882500,0.475058322,0.453008567
LinJ33-995000-1000000,33,997500,0.645690165,0.451969237
LinJ33-1400000-1405000,33,1402500,0.510097846,0.450976016
LinJ11-75000-80000,11,77500,0.436365243,0.450503893
LinJ18-715000-720000,18,717500,0.524342671,0.449630519
LinJ11-135000-140000,11,137500,0.398042686,0.446969417
LinJ33-1150000-1155000,33,1152500,0.523638491,0.446904888
LinJ18-145000-150000,18,147500,0.347189684,0.446362271
LinJ33-960000-965000,33,962500,0.490393879,0.445800835
LinJ33-830000-835000,33,832500,0.598358512,0.445593227
LinJ33-940000-945000,33,942500,0.52464561,0.445530223
LinJ23-350000-355000,23,352500,0.126163718,0.445149157
LinJ33-1065000-1070000,33,1067500,0.591650636,0.445109658
LinJ18-5000-10000,18,7500,0.401575171,0.443971588
LinJ11-150000-155000,11,152500,0.400103168,0.443864743
LinJ33-1195000-1200000,33,1197500,0.47931683,0.443831685
LinJ22-370000-375000,22,372500,0.031364426,0.442655013
LinJ33-1135000-1140000,33,1137500,0.507473493,0.442332959
LinJ18-285000-290000,18,287500,0.383653019,0.441991094
LinJ36-155000-160000,36,157500,-0.13227197,0.441639337
LinJ33-885000-890000,33,887500,0.554232068,0.441637636
LinJ33-840000-845000,33,842500,0.534561995,0.440785594
LinJ18-150000-155000,18,152500,0.298530934,0.440017531
LinJ30-800000-805000,30,802500,0.202729911,0.437183929
LinJ18-665000-670000,18,667500,0.387977519,0.436825477
LinJ36-1460000-1465000,36,1462500,0.13045517,0.436618984
LinJ23-560000-565000,23,562500,-0.016286197,0.43459101
LinJ33-1130000-1135000,33,1132500,0.458187901,0.43358612
LinJ33-1095000-1100000,33,1097500,0.398457767,0.433477798
LinJ18-695000-700000,18,697500,0.408597428,0.429511773
LinJ33-1010000-1015000,33,1012500,0.531660104,0.427616758
LinJ18-135000-140000,18,137500,0.458380281,0.426533566
LinJ33-810000-815000,33,812500,0.466816059,0.425976027
LinJ34-5000-10000,34,7500,0,0.424776059
LinJ30-1180000-1185000,30,1182500,-0.093756611,0.423886452
LinJ29-870000-875000,29,872500,0.004245054,0.423200627
LinJ23-565000-570000,23,567500,-2.134357821,0.423062832
LinJ18-635000-640000,18,637500,0.326420178,0.423032619
LinJ11-130000-135000,11,132500,0.409092895,0.4217007
LinJ34-1205000-1210000,34,1207500,0.145346671,0.421588334
LinJ35-660000-665000,35,662500,0,0.420636186
LinJ33-875000-880000,33,877500,0.509216773,0.420283148
LinJ24-855000-860000,24,857500,-0.100435528,0.420212008
LinJ18-480000-485000,18,482500,0.371214582,0.420067269
LinJ33-820000-825000,33,822500,0.493766829,0.419974976
LinJ33-900000-905000,33,902500,0.50241036,0.419917399
LinJ18-0-5000,18,2500,0.440653695,0.418445156
LinJ18-650000-655000,18,652500,0.320904865,0.417308192
LinJ18-20000-25000,18,22500,0.410958865,0.417195957
LinJ36-2450000-2455000,36,2452500,0.160984166,0.416879633
LinJ18-185000-190000,18,187500,0.370971173,0.416232271
LinJ33-1420000-1425000,33,1422500,0.5654897,0.416121472
LinJ33-1370000-1375000,33,1372500,0.484584148,0.414707208
