GeneID	Chr	start	end	Strand
LinJ03-320000-325000	LinJ03	320000	325000	+
LinJ03-325000-330000	LinJ03	325000	330000	+
LinJ03-330000-335000	LinJ03	330000	335000	+
LinJ03-335000-340000	LinJ03	335000	340000	+
LinJ03-340000-345000	LinJ03	340000	345000	+
LinJ03-345000-350000	LinJ03	345000	350000	+
LinJ03-350000-355000	LinJ03	350000	355000	+
LinJ03-355000-360000	LinJ03	355000	360000	+
LinJ03-360000-365000	LinJ03	360000	365000	+
LinJ03-365000-370000	LinJ03	365000	370000	+
LinJ03-370000-375000	LinJ03	370000	375000	+
LinJ03-375000-380000	LinJ03	375000	380000	+
LinJ03-380000-385000	LinJ03	380000	385000	+
LinJ03-385000-389657	LinJ03	385000	389657	+
LinJ04-0-5000	LinJ04	0	5000	+
LinJ04-5000-10000	LinJ04	5000	10000	+
LinJ04-10000-15000	LinJ04	10000	15000	+
LinJ04-15000-20000	LinJ04	15000	20000	+
LinJ04-20000-25000	LinJ04	20000	25000	+
LinJ04-25000-30000	LinJ04	25000	30000	+
LinJ04-30000-35000	LinJ04	30000	35000	+
LinJ04-35000-40000	LinJ04	35000	40000	+
LinJ04-40000-45000	LinJ04	40000	45000	+
LinJ04-45000-50000	LinJ04	45000	50000	+
LinJ04-50000-55000	LinJ04	50000	55000	+
LinJ04-55000-60000	LinJ04	55000	60000	+
LinJ04-60000-65000	LinJ04	60000	65000	+
LinJ04-65000-70000	LinJ04	65000	70000	+
LinJ04-70000-75000	LinJ04	70000	75000	+
LinJ04-75000-80000	LinJ04	75000	80000	+
LinJ04-80000-85000	LinJ04	80000	85000	+
LinJ04-85000-90000	LinJ04	85000	90000	+
LinJ04-90000-95000	LinJ04	90000	95000	+
LinJ04-95000-100000	LinJ04	95000	100000	+
LinJ04-100000-105000	LinJ04	100000	105000	+
LinJ04-105000-110000	LinJ04	105000	110000	+
LinJ04-110000-115000	LinJ04	110000	115000	+
LinJ04-115000-120000	LinJ04	115000	120000	+
LinJ04-120000-125000	LinJ04	120000	125000	+
LinJ04-125000-130000	LinJ04	125000	130000	+
LinJ04-130000-135000	LinJ04	130000	135000	+
LinJ04-135000-140000	LinJ04	135000	140000	+
LinJ04-140000-145000	LinJ04	140000	145000	+
LinJ04-145000-150000	LinJ04	145000	150000	+
LinJ04-150000-155000	LinJ04	150000	155000	+
LinJ04-155000-160000	LinJ04	155000	160000	+
LinJ04-160000-165000	LinJ04	160000	165000	+
LinJ04-165000-170000	LinJ04	165000	170000	+
LinJ04-170000-175000	LinJ04	170000	175000	+
LinJ04-175000-180000	LinJ04	175000	180000	+
LinJ04-180000-185000	LinJ04	180000	185000	+
LinJ04-185000-190000	LinJ04	185000	190000	+
LinJ04-190000-195000	LinJ04	190000	195000	+
LinJ04-195000-200000	LinJ04	195000	200000	+
LinJ04-200000-205000	LinJ04	200000	205000	+
LinJ04-205000-210000	LinJ04	205000	210000	+
LinJ04-210000-215000	LinJ04	210000	215000	+
LinJ04-215000-220000	LinJ04	215000	220000	+
LinJ04-220000-225000	LinJ04	220000	225000	+
LinJ04-225000-230000	LinJ04	225000	230000	+
LinJ04-230000-235000	LinJ04	230000	235000	+
LinJ04-235000-240000	LinJ04	235000	240000	+
LinJ04-240000-245000	LinJ04	240000	245000	+
LinJ04-245000-250000	LinJ04	245000	250000	+
LinJ04-250000-255000	LinJ04	250000	255000	+
LinJ04-255000-260000	LinJ04	255000	260000	+
LinJ04-260000-265000	LinJ04	260000	265000	+
LinJ04-265000-270000	LinJ04	265000	270000	+
LinJ04-270000-275000	LinJ04	270000	275000	+
LinJ04-275000-280000	LinJ04	275000	280000	+
LinJ04-280000-285000	LinJ04	280000	285000	+
LinJ04-285000-290000	LinJ04	285000	290000	+
LinJ04-290000-295000	LinJ04	290000	295000	+
LinJ04-295000-300000	LinJ04	295000	300000	+
LinJ04-300000-305000	LinJ04	300000	305000	+
LinJ04-305000-310000	LinJ04	305000	310000	+
LinJ04-310000-315000	LinJ04	310000	315000	+
LinJ04-315000-320000	LinJ04	315000	320000	+
LinJ04-320000-325000	LinJ04	320000	325000	+
LinJ04-325000-330000	LinJ04	325000	330000	+
LinJ04-330000-335000	LinJ04	330000	335000	+
LinJ04-335000-340000	LinJ04	335000	340000	+
LinJ04-340000-345000	LinJ04	340000	345000	+
LinJ04-345000-350000	LinJ04	345000	350000	+
LinJ04-350000-355000	LinJ04	350000	355000	+
LinJ04-355000-360000	LinJ04	355000	360000	+
LinJ04-360000-365000	LinJ04	360000	365000	+
LinJ04-365000-370000	LinJ04	365000	370000	+
LinJ04-370000-375000	LinJ04	370000	375000	+
LinJ04-375000-380000	LinJ04	375000	380000	+
LinJ04-380000-385000	LinJ04	380000	385000	+
LinJ04-385000-390000	LinJ04	385000	390000	+
LinJ04-390000-395000	LinJ04	390000	395000	+
LinJ04-395000-400000	LinJ04	395000	400000	+
LinJ04-400000-405000	LinJ04	400000	405000	+
LinJ04-405000-410000	LinJ04	405000	410000	+
LinJ04-410000-415000	LinJ04	410000	415000	+
LinJ04-415000-420000	LinJ04	415000	420000	+
LinJ04-420000-425000	LinJ04	420000	425000	+
LinJ04-425000-430000	LinJ04	425000	430000	+
LinJ04-430000-435000	LinJ04	430000	435000	+
LinJ04-435000-440000	LinJ04	435000	440000	+
LinJ04-440000-445000	LinJ04	440000	445000	+
LinJ04-445000-450000	LinJ04	445000	450000	+
LinJ04-450000-455000	LinJ04	450000	455000	+
LinJ04-455000-460000	LinJ04	455000	460000	+
LinJ04-460000-465000	LinJ04	460000	465000	+
LinJ04-465000-466507	LinJ04	465000	466507	+
LinJ05-0-5000	LinJ05	0	5000	+
LinJ05-5000-10000	LinJ05	5000	10000	+
LinJ05-10000-15000	LinJ05	10000	15000	+
LinJ05-15000-20000	LinJ05	15000	20000	+
LinJ05-20000-25000	LinJ05	20000	25000	+
LinJ05-25000-30000	LinJ05	25000	30000	+
LinJ05-30000-35000	LinJ05	30000	35000	+
LinJ05-35000-40000	LinJ05	35000	40000	+
LinJ05-40000-45000	LinJ05	40000	45000	+
LinJ05-45000-50000	LinJ05	45000	50000	+
LinJ05-50000-55000	LinJ05	50000	55000	+
LinJ05-55000-60000	LinJ05	55000	60000	+
LinJ05-60000-65000	LinJ05	60000	65000	+
LinJ05-65000-70000	LinJ05	65000	70000	+
LinJ05-70000-75000	LinJ05	70000	75000	+
LinJ05-75000-80000	LinJ05	75000	80000	+
LinJ05-80000-85000	LinJ05	80000	85000	+
LinJ05-85000-90000	LinJ05	85000	90000	+
LinJ05-90000-95000	LinJ05	90000	95000	+
LinJ05-95000-100000	LinJ05	95000	100000	+
LinJ05-100000-105000	LinJ05	100000	105000	+
LinJ05-105000-110000	LinJ05	105000	110000	+
LinJ05-110000-115000	LinJ05	110000	115000	+
LinJ05-115000-120000	LinJ05	115000	120000	+
LinJ05-120000-125000	LinJ05	120000	125000	+
LinJ05-125000-130000	LinJ05	125000	130000	+
LinJ05-130000-135000	LinJ05	130000	135000	+
LinJ05-135000-140000	LinJ05	135000	140000	+
LinJ05-140000-145000	LinJ05	140000	145000	+
LinJ05-145000-150000	LinJ05	145000	150000	+
LinJ05-150000-155000	LinJ05	150000	155000	+
LinJ05-155000-160000	LinJ05	155000	160000	+
LinJ05-160000-165000	LinJ05	160000	165000	+
LinJ05-165000-170000	LinJ05	165000	170000	+
LinJ05-170000-175000	LinJ05	170000	175000	+
LinJ05-175000-180000	LinJ05	175000	180000	+
LinJ05-180000-185000	LinJ05	180000	185000	+
LinJ05-185000-190000	LinJ05	185000	190000	+
LinJ05-190000-195000	LinJ05	190000	195000	+
LinJ05-195000-200000	LinJ05	195000	200000	+
LinJ05-200000-205000	LinJ05	200000	205000	+
LinJ05-205000-210000	LinJ05	205000	210000	+
LinJ05-210000-215000	LinJ05	210000	215000	+
LinJ05-215000-220000	LinJ05	215000	220000	+
LinJ05-220000-225000	LinJ05	220000	225000	+
LinJ05-225000-230000	LinJ05	225000	230000	+
LinJ05-230000-235000	LinJ05	230000	235000	+
LinJ05-235000-240000	LinJ05	235000	240000	+
LinJ05-240000-245000	LinJ05	240000	245000	+
LinJ05-245000-250000	LinJ05	245000	250000	+
LinJ05-250000-255000	LinJ05	250000	255000	+
LinJ05-255000-260000	LinJ05	255000	260000	+
LinJ05-260000-265000	LinJ05	260000	265000	+
LinJ05-265000-270000	LinJ05	265000	270000	+
LinJ05-270000-275000	LinJ05	270000	275000	+
LinJ05-275000-280000	LinJ05	275000	280000	+
LinJ05-280000-285000	LinJ05	280000	285000	+
LinJ05-285000-290000	LinJ05	285000	290000	+
LinJ05-290000-295000	LinJ05	290000	295000	+
LinJ05-295000-300000	LinJ05	295000	300000	+
LinJ05-300000-305000	LinJ05	300000	305000	+
LinJ05-305000-310000	LinJ05	305000	310000	+
LinJ05-310000-315000	LinJ05	310000	315000	+
LinJ05-315000-320000	LinJ05	315000	320000	+
LinJ05-320000-325000	LinJ05	320000	325000	+
LinJ05-325000-330000	LinJ05	325000	330000	+
LinJ05-330000-335000	LinJ05	330000	335000	+
LinJ05-335000-340000	LinJ05	335000	340000	+
LinJ05-340000-345000	LinJ05	340000	345000	+
LinJ05-345000-350000	LinJ05	345000	350000	+
LinJ05-350000-355000	LinJ05	350000	355000	+
LinJ05-355000-360000	LinJ05	355000	360000	+
LinJ05-360000-365000	LinJ05	360000	365000	+
LinJ05-365000-370000	LinJ05	365000	370000	+
LinJ05-370000-375000	LinJ05	370000	375000	+
LinJ05-375000-380000	LinJ05	375000	380000	+
LinJ05-380000-385000	LinJ05	380000	385000	+
LinJ05-385000-390000	LinJ05	385000	390000	+
LinJ05-390000-395000	LinJ05	390000	395000	+
LinJ05-395000-400000	LinJ05	395000	400000	+
LinJ05-400000-405000	LinJ05	400000	405000	+
LinJ05-405000-410000	LinJ05	405000	410000	+
LinJ05-410000-415000	LinJ05	410000	415000	+
LinJ05-415000-420000	LinJ05	415000	420000	+
LinJ05-420000-425000	LinJ05	420000	425000	+
LinJ05-425000-430000	LinJ05	425000	430000	+
LinJ05-430000-435000	LinJ05	430000	435000	+
LinJ05-435000-440000	LinJ05	435000	440000	+
LinJ05-440000-445000	LinJ05	440000	445000	+
LinJ05-445000-450000	LinJ05	445000	450000	+
LinJ05-450000-455000	LinJ05	450000	455000	+
LinJ05-455000-460000	LinJ05	455000	460000	+
LinJ05-460000-465000	LinJ05	460000	465000	+
LinJ05-465000-467714	LinJ05	465000	467714	+
LinJ06-0-5000	LinJ06	0	5000	+
LinJ06-5000-10000	LinJ06	5000	10000	+
LinJ06-10000-15000	LinJ06	10000	15000	+
LinJ06-15000-20000	LinJ06	15000	20000	+
LinJ06-20000-25000	LinJ06	20000	25000	+
LinJ06-25000-30000	LinJ06	25000	30000	+
LinJ06-30000-35000	LinJ06	30000	35000	+
LinJ06-35000-40000	LinJ06	35000	40000	+
LinJ06-40000-45000	LinJ06	40000	45000	+
LinJ06-45000-50000	LinJ06	45000	50000	+
LinJ06-50000-55000	LinJ06	50000	55000	+
LinJ06-55000-60000	LinJ06	55000	60000	+
LinJ06-60000-65000	LinJ06	60000	65000	+
LinJ06-65000-70000	LinJ06	65000	70000	+
LinJ06-70000-75000	LinJ06	70000	75000	+
LinJ06-75000-80000	LinJ06	75000	80000	+
LinJ06-80000-85000	LinJ06	80000	85000	+
LinJ06-85000-90000	LinJ06	85000	90000	+
LinJ06-90000-95000	LinJ06	90000	95000	+
LinJ06-95000-100000	LinJ06	95000	100000	+
LinJ06-100000-105000	LinJ06	100000	105000	+
LinJ06-105000-110000	LinJ06	105000	110000	+
LinJ06-110000-115000	LinJ06	110000	115000	+
LinJ06-115000-120000	LinJ06	115000	120000	+
LinJ06-120000-125000	LinJ06	120000	125000	+
LinJ06-125000-130000	LinJ06	125000	130000	+
LinJ06-130000-135000	LinJ06	130000	135000	+
LinJ06-135000-140000	LinJ06	135000	140000	+
LinJ06-140000-145000	LinJ06	140000	145000	+
LinJ06-145000-150000	LinJ06	145000	150000	+
LinJ06-150000-155000	LinJ06	150000	155000	+
LinJ06-155000-160000	LinJ06	155000	160000	+
LinJ06-160000-165000	LinJ06	160000	165000	+
LinJ06-165000-170000	LinJ06	165000	170000	+
LinJ06-170000-175000	LinJ06	170000	175000	+
LinJ06-175000-180000	LinJ06	175000	180000	+
LinJ06-180000-185000	LinJ06	180000	185000	+
LinJ06-185000-190000	LinJ06	185000	190000	+
LinJ06-190000-195000	LinJ06	190000	195000	+
LinJ06-195000-200000	LinJ06	195000	200000	+
LinJ06-200000-205000	LinJ06	200000	205000	+
LinJ06-205000-210000	LinJ06	205000	210000	+
LinJ06-210000-215000	LinJ06	210000	215000	+
LinJ06-215000-220000	LinJ06	215000	220000	+
LinJ06-220000-225000	LinJ06	220000	225000	+
LinJ06-225000-230000	LinJ06	225000	230000	+
LinJ06-230000-235000	LinJ06	230000	235000	+
LinJ06-235000-240000	LinJ06	235000	240000	+
LinJ06-240000-245000	LinJ06	240000	245000	+
LinJ06-245000-250000	LinJ06	245000	250000	+
LinJ06-250000-255000	LinJ06	250000	255000	+
LinJ06-255000-260000	LinJ06	255000	260000	+
LinJ06-260000-265000	LinJ06	260000	265000	+
LinJ06-265000-270000	LinJ06	265000	270000	+
LinJ06-270000-275000	LinJ06	270000	275000	+
LinJ06-275000-280000	LinJ06	275000	280000	+
LinJ06-280000-285000	LinJ06	280000	285000	+
LinJ06-285000-290000	LinJ06	285000	290000	+
LinJ06-290000-295000	LinJ06	290000	295000	+
LinJ06-295000-300000	LinJ06	295000	300000	+
LinJ06-300000-305000	LinJ06	300000	305000	+
LinJ06-305000-310000	LinJ06	305000	310000	+
LinJ06-310000-315000	LinJ06	310000	315000	+
LinJ06-315000-320000	LinJ06	315000	320000	+
LinJ06-320000-325000	LinJ06	320000	325000	+
LinJ06-325000-330000	LinJ06	325000	330000	+
LinJ06-330000-335000	LinJ06	330000	335000	+
LinJ06-335000-340000	LinJ06	335000	340000	+
LinJ06-340000-345000	LinJ06	340000	345000	+
LinJ06-345000-350000	LinJ06	345000	350000	+
LinJ06-350000-355000	LinJ06	350000	355000	+
LinJ06-355000-360000	LinJ06	355000	360000	+
LinJ06-360000-365000	LinJ06	360000	365000	+
LinJ06-365000-370000	LinJ06	365000	370000	+
LinJ06-370000-375000	LinJ06	370000	375000	+
LinJ06-375000-380000	LinJ06	375000	380000	+
LinJ06-380000-385000	LinJ06	380000	385000	+
LinJ06-385000-390000	LinJ06	385000	390000	+
LinJ06-390000-395000	LinJ06	390000	395000	+
LinJ06-395000-400000	LinJ06	395000	400000	+
LinJ06-400000-405000	LinJ06	400000	405000	+
LinJ06-405000-410000	LinJ06	405000	410000	+
LinJ06-410000-415000	LinJ06	410000	415000	+
LinJ06-415000-420000	LinJ06	415000	420000	+
LinJ06-420000-425000	LinJ06	420000	425000	+
LinJ06-425000-430000	LinJ06	425000	430000	+
LinJ06-430000-435000	LinJ06	430000	435000	+
LinJ06-435000-440000	LinJ06	435000	440000	+
LinJ06-440000-445000	LinJ06	440000	445000	+
LinJ06-445000-450000	LinJ06	445000	450000	+
LinJ06-450000-455000	LinJ06	450000	455000	+
LinJ06-455000-460000	LinJ06	455000	460000	+
LinJ06-460000-465000	LinJ06	460000	465000	+
LinJ06-465000-470000	LinJ06	465000	470000	+
LinJ06-470000-475000	LinJ06	470000	475000	+
LinJ06-475000-480000	LinJ06	475000	480000	+
LinJ06-480000-485000	LinJ06	480000	485000	+
LinJ06-485000-490000	LinJ06	485000	490000	+
LinJ06-490000-495000	LinJ06	490000	495000	+
LinJ06-495000-500000	LinJ06	495000	500000	+
LinJ06-500000-505000	LinJ06	500000	505000	+
LinJ06-505000-510000	LinJ06	505000	510000	+
LinJ06-510000-515000	LinJ06	510000	515000	+
LinJ06-515000-520000	LinJ06	515000	520000	+
LinJ06-520000-525000	LinJ06	520000	525000	+
LinJ06-525000-525234	LinJ06	525000	525234	+
LinJ07-0-5000	LinJ07	0	5000	+
LinJ07-5000-10000	LinJ07	5000	10000	+
LinJ07-10000-15000	LinJ07	10000	15000	+
LinJ07-15000-20000	LinJ07	15000	20000	+
LinJ07-20000-25000	LinJ07	20000	25000	+
LinJ07-25000-30000	LinJ07	25000	30000	+
LinJ07-30000-35000	LinJ07	30000	35000	+
LinJ07-35000-40000	LinJ07	35000	40000	+
LinJ07-40000-45000	LinJ07	40000	45000	+
LinJ07-45000-50000	LinJ07	45000	50000	+
LinJ07-50000-55000	LinJ07	50000	55000	+
LinJ07-55000-60000	LinJ07	55000	60000	+
LinJ07-60000-65000	LinJ07	60000	65000	+
LinJ07-65000-70000	LinJ07	65000	70000	+
LinJ07-70000-75000	LinJ07	70000	75000	+
LinJ07-75000-80000	LinJ07	75000	80000	+
LinJ07-80000-85000	LinJ07	80000	85000	+
LinJ07-85000-90000	LinJ07	85000	90000	+
LinJ07-90000-95000	LinJ07	90000	95000	+
LinJ07-95000-100000	LinJ07	95000	100000	+
LinJ07-100000-105000	LinJ07	100000	105000	+
LinJ07-105000-110000	LinJ07	105000	110000	+
LinJ07-110000-115000	LinJ07	110000	115000	+
LinJ07-115000-120000	LinJ07	115000	120000	+
LinJ07-120000-125000	LinJ07	120000	125000	+
LinJ07-125000-130000	LinJ07	125000	130000	+
LinJ07-130000-135000	LinJ07	130000	135000	+
LinJ07-135000-140000	LinJ07	135000	140000	+
LinJ07-140000-145000	LinJ07	140000	145000	+
LinJ07-145000-150000	LinJ07	145000	150000	+
LinJ07-150000-155000	LinJ07	150000	155000	+
LinJ07-155000-160000	LinJ07	155000	160000	+
LinJ07-160000-165000	LinJ07	160000	165000	+
LinJ07-165000-170000	LinJ07	165000	170000	+
LinJ07-170000-175000	LinJ07	170000	175000	+
LinJ07-175000-180000	LinJ07	175000	180000	+
LinJ07-180000-185000	LinJ07	180000	185000	+
